xtf_id,Date,Power,Inclination,Orientation,PlantCategory,ElectricityProductionPlantR
detail_290,2017-09-15,45.24,,,,10660
detail_291,2016-03-23,77.43,,,,21770
detail_292,2015-03-03,139.65,,,,21772
detail_293,2015-10-05,0.38,,,,10980
detail_294,2016-03-21,69.02,,,,12577
detail_295,2016-09-08,5.46,,,,19806
detail_296,2017-08-25,2.74,,,,12529
detail_297,2012-12-21,27.54,,,,19812
detail_298,2014-12-10,68.9,,,,19812
detail_299,2019-09-11,2.16,,,,11547
detail_300,2011-07-01,9.6,,,,19838
detail_301,2015-08-01,3.3,,,,19838
detail_302,2013-07-01,0.96,,,,19838
detail_303,2014-12-01,10.13,,,,21617
detail_304,2017-08-18,84.96,,,,21626
detail_305,2015-07-22,49.08,,,,9977
detail_306,2015-03-17,19.65,,,,9977
detail_307,2015-07-02,10.4,,,,21657
detail_308,2017-03-28,10.73,,,,11337
detail_309,2017-03-21,4.36,,,,12210
detail_310,2019-08-30,49,,,,11041
detail_311,2017-08-18,2.69,,,,19856
detail_312,2012-09-06,8.02,,,,19856
detail_313,2013-08-27,3.98,,,,10635
detail_314,2015-09-26,5.63,,,,19862
detail_315,2017-08-20,12,,,,11544
detail_316,2017-10-11,4.04,,,,9809
detail_317,2016-09-29,137.27,,,,12831
detail_318,2016-12-02,7.2,,,,9995
detail_319,2019-04-10,17.4,,,,19914
detail_320,2017-12-22,0.4,,,,9799
detail_321,2016-08-17,4.48,,,,19944
detail_322,2016-09-26,30.2,,,,19954
detail_323,2016-12-21,6.21,,,,9890
detail_324,2015-04-28,2.35,,,,19975
detail_325,2020-11-04,29,,,,14623
detail_326,2020-08-26,30.72,,,,26290
detail_327,2014-06-06,1.1,,,,11590
detail_328,2017-09-05,1.97,,,,20002
detail_329,2018-04-10,1.55,,,,12127
detail_330,2021-01-29,2.97,,,,12207
detail_331,2020-03-24,13.29,,,,20033
detail_332,2020-06-17,45.95,,,,11090
detail_333,2018-09-19,8.44,,,,11094
detail_334,2017-10-09,1.2,,,,11234
detail_335,2020-06-22,6.18,,,,13085
detail_336,2015-03-24,3.5,,,,20077
detail_337,2017-07-28,2.27,,,,20097
detail_338,2017-12-29,13.98,,,,9781
detail_339,2017-09-14,0.65,,,,12992
detail_340,2015-07-24,66.3,,,,12998
detail_341,2012-09-26,70,,,,12998
detail_342,2017-07-31,1.7,,,,9948
detail_343,2010-04-28,2.55,,,,11162
detail_344,2017-11-15,1.47,,,,11162
detail_345,2021-04-21,4.1,,,,11523
detail_346,2021-04-21,4.1,,,,11523
detail_347,2020-07-01,5.17,,,,20122
detail_348,2017-02-09,3.48,,,,10545
detail_349,2013-10-15,25.88,,,,13002
detail_350,2015-12-17,26.52,,,,20148
detail_351,2017-06-14,104.7,,,,21884
detail_352,2018-02-16,0.6,,,,21930
detail_353,2012-09-28,186.56,,,,21965
detail_354,2017-08-29,34.98,,,,21965
detail_355,2012-02-20,115.67,,,,21977
detail_356,2015-03-27,102.82,,,,21977
detail_357,2018-07-13,18.4,,,,9745
detail_358,2017-03-06,19.62,,,,13086
detail_359,2017-11-28,1.47,,,,22000
detail_360,2017-11-16,1.94,,,,11116
detail_361,2017-02-13,0.96,,,,11180
detail_362,2015-02-27,20.5,,,,10230
